reference_id,bibliography_key,full_bibliography_entry,linked_book_note_ids
R280,Wright 2007,"Wright, Katherine I. 2007. ‘Women and the emergence of urban society in Mesopotamia.’ In S. Hamilton and R. D. Whitehouse (eds), Archaeology and Women: Ancient and Modern Issues. Walnut Creek, CA: Left Coast Press, pp. 199–245.",ch8-n49
R281,Wright 2008,"Wright, Katherine I. et al. 2008. ‘Stone bead technologies and early craft specialization: insights from two Neolithic Sites in eastern Jordan.’ Levant 40 (2): 131–65.",ch6-n25
R282,Wright 2010,"Wright, Rita P. 2010. The Ancient Indus: Urbanism, Economy, and Society. New York: Cambridge University Press.",ch8-n86
R283,Wright 2014,"Wright, Emily et al. 2014. ‘Age and season of pig slaughter at Late Neolithic Durrington Walls (Wiltshire, UK) as detected through a new system for recording tooth wear.’ Journal of Archaeological Science 52: 497–514.",ch3-n41
R284,Yen 1995,"Yen, Douglas. E. 1995. ‘The development of Sahul agriculture with Australia as bystander.’ Antiquity 69 (265): 831–47.",ch7-n32 | ch7-n33
R285,Yoffee 1995,"Yoffee, Norman. 1995. ‘The political economy of early Mesopotamian states.’ Annual Review of Anthropology 24: 281–311.",ch8-n74
R286,Younger 2016,"Younger, John. 2016. ‘Minoan women.’ In S. L. Budin and J. M. Turfa (eds), Women in Antiquity: Real Women Across the Ancient World. London and New York: Routledge, pp. 573–94.",ch10-n145 | ch10-n146 | ch10-n147
R287,Zagarell 1986,"Zagarell, Allen. 1986. ‘Trade, women, class, and society in Ancient Western Asia.’ Current Anthropology 27 (5): 415–30.",ch8-n49
R288,Zheltova 2015,"Zheltova, Maria N. 2015. ‘Kostenki 4: Gravettian of the east – not Eastern Gravettian.’ Quaternary International 359–60: 362–71.",ch3-n28
R289,Zhilin 2018,"Zhilin, Mikhail et al. 2018. ‘Early art in the Urals: new research on the wooden sculpture from Shigir.’ Antiquity 92 (362): 334–50.",ch4-n34
